Title,Link,Address,Price,Num rooms,Area,Avgift,Floor,Year built,Broker,Broker Link,Booli price
Johan Enbergs väg 7,https://www.booli.se/annons/4879123,"Lägenhet, Västra Skogen",Price missing,2 rum,67 m²,3 130 kr/mån,1,1969,Linnea Mott,,≈ 4 030 000 kr
Storgatan 29A,https://www.booli.se/annons/4859413,"Lägenhet, Huvudsta",Price missing,3 rum,75 m²,4 746 kr/mån,1,1948,Ebba Henriksson,,≈ 3 580 000 kr
Bangatan 7A,https://www.booli.se/annons/4870685,"Lägenhet, Gamla Huvudsta",Price missing,3 rum,76 m²,,3,1952,Jennifer Törnkvist Metajittikorn,,≈ 3 880 000 kr
Storgatan 62C,https://www.booli.se/annons/4865198,"Lägenhet, Huvudsta",4 995 000kr,5 rum,103 m²,6 858 kr/mån,5,2012,Lawan Farag,,≈ 5 840 000 kr
Släggbacken 6,https://www.booli.se/annons/4722858,"Lägenhet, Huvudsta",4 700 000kr,3½ rum,91 m²,4 839 kr/mån,Bottenvåning,,Martin Eriksson,,
Polhemsgatan 4,https://www.booli.se/bostad/701210,"Lägenhet, Gamla Huvudsta",Price missing,4 rum,88 m²,3 844 kr/mån,1,,Eddie Razaz,,≈ 4 910 000 kr
Wiboms väg 2,https://www.booli.se/annons/4848625,"Lägenhet, Västra Skogen",4 495 000kr,4 rum,103 m²,6 286 kr/mån,8,,Martin Monko,,≈ 5 730 000 kr
Huvudstagatan 13,https://www.booli.se/annons/4795111,"Lägenhet, Gamla Huvudsta",Price missing,2 rum,65½ m²,3 993 kr/mån,9,2006,Johanna Ekberg,,≈ 3 880 000 kr
Arvid Tydéns Allé 18,https://www.booli.se/bostad/4104101,"Lägenhet, Huvudsta",Price missing,3 rum,68 m²,3 326 kr/mån,4,2018,Eddie Razaz,,≈ 4 650 000 kr
Wiboms väg 4,https://www.booli.se/annons/4816195,"Lägenhet, Västra Skogen",3 795 000kr,3 rum,83 m²,4 249 kr/mån,,1966,Jannis Nikopoulos,,≈ 4 320 000 kr
Krysshammarvägen 14,https://www.booli.se/annons/4815344,"Lägenhet, Huvudsta",Price missing,3 rum,82½ m²,3 506 kr/mån,4,,Johanna Ekberg,,≈ 3 900 000 kr
Göran Perssons väg 29,https://www.booli.se/bostad/161494,"Lägenhet, Huvudsta",3 850 000kr,3 rum,80 m²,4 839 kr/mån,2,1969,Anna Ekstrand,,≈ 3 960 000 kr
Krysshammarvägen 38,https://www.booli.se/annons/4760240,"Lägenhet, Huvudsta",4 000 000kr,3 rum,81½ m²,4 251 kr/mån,4,1966,Jonathan Rappel,,≈ 3 680 000 kr
Johan Enbergs väg 34,https://www.booli.se/bostad/135905,"Lägenhet, Västra Skogen",4 500 000kr,3 rum,80½ m²,4 139 kr/mån,4,1969,Jonathan Rappel,,≈ 4 550 000 kr
Krysshammarvägen 30,https://www.booli.se/annons/4736581,"Lägenhet, Västra Skogen",Price missing,3 rum,82½ m²,4 023 kr/mån,8,1966,Gabriel Youhanoun,,≈ 3 820 000 kr
Storgatan 56,https://www.booli.se/annons/4732825,"Lägenhet, Huvudsta",Price missing,3 rum,71½ m²,3 479 kr/mån,1,1983,André Nasiri,,≈ 3 670 000 kr
Arvid Tydéns Allé 4,https://www.booli.se/annons/4729822,"Lägenhet, Västra Skogen",Price missing,2 rum,60 m²,3 250 kr/mån,2,2016,Gabriel Youhanoun,,≈ 3 750 000 kr
Bygatan 15,https://www.booli.se/bostad/594201,"Lägenhet, Huvudsta",Price missing,4 rum,88 m²,4 852 kr/mån,2,1968,Alexander Yossef,,≈ 4 470 000 kr
Storgatan 72A,https://www.booli.se/bostad/750150,"Lägenhet, Huvudsta",Price missing,2 rum,62 m²,3 761 kr/mån,3,,Eddie Razaz,,≈ 3 390 000 kr
Kapellgatan 18,https://www.booli.se/bostad/423199,"Lägenhet, Västra Skogen",Price missing,4 rum,94 m²,5 395 kr/mån,,1976,Eddie Razaz,,≈ 4 650 000 kr
Göran Perssons väg 29,https://www.booli.se/bostad/161488,"Lägenhet, Huvudsta",Price missing,3 rum,80 m²,4 843 kr/mån,5,1970,William Afsan,,≈ 4 120 000 kr
Jungfrudansen 52,https://www.booli.se/annons/4588655,"Lägenhet, Huvudsta",Price missing,2 rum,60 m²,2 655 kr/mån,2,1971,Jonathan Rappel,,≈ 3 330 000 kr
Bygatan 15,https://www.booli.se/bostad/594204,"Lägenhet, Huvudsta",4 495 000kr,3 rum,88 m²,4 367 kr/mån,1,1968,Jonathan Rappel,,≈ 4 300 000 kr
Storgatan 56,https://www.booli.se/annons/4647055,"Lägenhet, Huvudsta",Price missing,3 rum,71½ m²,3 380 kr/mån,,1983,Lawan Farag,,≈ 3 810 000 kr
Infanterigatan 11,https://www.booli.se/annons/4651561,"Lägenhet, Huvudsta",Price missing,4 rum,84½ m²,4 445 kr/mån,5,,André Nasiri,,≈ 4 400 000 kr
Trubadurvägen 3,https://www.booli.se/annons/4642895,"Lägenhet, Västra Skogen",Price missing,2 rum,60 m²,3 250 kr/mån,2,2016,Viktor Milovanovic,,≈ 3 730 000 kr
Wiboms väg 6,https://www.booli.se/annons/4631063,"Lägenhet, Västra Skogen",Price missing,4 rum,94 m²,5 454 kr/mån,3,1966,Marc Törnsten,,≈ 4 850 000 kr
Lundagatan 3B,https://www.booli.se/annons/4625427,"Lägenhet, Västra Skogen",Price missing,3 rum,76 m²,3 882 kr/mån,3,1952,Jonathan Rappel,,≈ 4 130 000 kr
Wiboms väg 12,https://www.booli.se/bostad/794956,"Lägenhet, Huvudsta",Price missing,3 rum,83 m²,4 633 kr/mån,1,1966,Johanna Ekberg,,≈ 4 430 000 kr
Polhemsgatan 10,https://www.booli.se/annons/4579385,"Lägenhet, Gamla Huvudsta",Price missing,3 rum,83 m²,3 417 kr/mån,1,1950,Jannis Nikopoulos,,≈ 4 250 000 kr
Bygatan 19,https://www.booli.se/annons/4572895,"Lägenhet, Huvudsta",Price missing,3 rum,88 m²,4 367 kr/mån,,1968,Lawan Farag,,≈ 4 350 000 kr
Bygatan 15,https://www.booli.se/annons/4552509,"Lägenhet, Huvudsta",Price missing,3 rum,88 m²,4 352 kr/mån,5,1968,Marc Törnsten,,≈ 4 530 000 kr
Jungfrudansen 46,https://www.booli.se/annons/4549205,"Lägenhet, Jungfrudansen",Price missing,3 rum,74 m²,3 278 kr/mån,1,1971,Basit Malik,,≈ 4 110 000 kr
Storgatan 52,https://www.booli.se/annons/4540821,"Lägenhet, Huvudsta",Price missing,3 rum,65 m²,3 072 kr/mån,4,,Lawan Farag,,≈ 3 540 000 kr
Johan Enbergs väg 3,https://www.booli.se/annons/4538444,"Lägenhet, Västra Skogen",Price missing,2 rum,67 m²,3 169 kr/mån,4,1969,Jonathan Rappel,,≈ 3 960 000 kr
Storgatan 76C,https://www.booli.se/annons/4399005,"Lägenhet, Huvudsta",Price missing,3 rum,81½ m²,5 017 kr/mån,6,2015,Andreas Hansson,,≈ 4 840 000 kr
Polhemsgatan 9,https://www.booli.se/bostad/700943,"Lägenhet, Huvudsta",Price missing,3 rum,77 m²,4 198 kr/mån,1,1948,Jonathan Rappel,,≈ 3 880 000 kr
Bangatan 3C,https://www.booli.se/annons/4364123,"Lägenhet, Västra Skogen",Price missing,2 rum,66 m²,3 505 kr/mån,3,1952,Jonathan Rappel,,≈ 3 290 000 kr
Järnvägsgatan 2A,https://www.booli.se/annons/4239808,"Lägenhet, Huvudsta",Price missing,2 rum,64 m²,3 398 kr/mån,Bottenvåning,,Sofia Andersson,,≈ 3 140 000 kr
Storgatan 29A,https://www.booli.se/annons/3577169,"Lägenhet, Huvudsta",Price missing,3 rum,75 m²,4 224 kr/mån,2,,Alex Baz,,≈ 3 640 000 kr
Göran Perssons väg 33,https://www.booli.se/bostad/161447,"Lägenhet, Huvudsta",Price missing,3 rum,80 m²,4 572 kr/mån,2,,Johanna Ekberg,,≈ 3 940 000 kr
